Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
533850000,15000,664819,LaFlorida,LaFlorida,16,12.0,389.0,890.0,3.0,2988676,Difusion Propiedades
180000000,5058,224159,Maipú,LasNaciones,5,3.0,136.0,153.0,2.0,9274473,
168000000,4720,209215,PadreHurtado,CaminoBajosdeSta.Cruz342,4,3.0,130.0,180.0,2.0,10340252,
109900000,3088,136862,Maipú,Pje.ArmandoCortinez345,3,2.0,85.0,120.0,1.0,10340294,
160000000,4496,199253,PuenteAlto,CondominioJardinesdeLasVizcachas,3,3.0,85.0,180.0,2.0,6359377,Carolina Martinez Propiedades
155000000,4355,193026,Tiltil,Tiltil,7,3.0,250.0,1000.0,8.0,3776733,Difusion Propiedades
444875000,12500,554016,LoBarnechea,ElRodeo-NidodeAguilas,6,4.0,176.0,275.0,2.0,2652853,Bello Propiedades Gestión Inmobiliaria
153037000,4300,190582,Maipú,CalleSantaNidia,4,3.0,107.0,145.0,,4003310,
170000000,4777,211706,Conchalí,Nilahue,6,2.0,,,,11608988,Kvs properties
90000000,2529,112080,Santiago,Verdi,4,2.0,,85.0,,11608956,Kvs properties
136000000,3821,169365,SanBernardo,CondominioBarriónuevodenos,3,3.0,92.0,148.0,1.0,9060758,G A M P. Propiedades
119000000,3344,148194,Maipú,Elsurazo,5,2.0,113.0,108.0,2.0,8805661,alejandra escanilla garrido
135000000,3793,168120,Maipú,SantaBerta,4,3.0,93.0,124.0,,9142610,alejandra escanilla garrido
270484000,7600,336842,LaFlorida,Sta.Delia7718,5,3.0,152.0,200.0,3.0,7806625,
175000000,4917,217933,Maipú,RamayanacercaMetroPlazaMaipu,4,2.0,110.0,130.0,3.0,3995128,Sucasa Gestión Inmobiliaria
391490000,11000,487534,Providencia,MiguelClaro1950,4,2.0,229.0,248.0,2.0,9542577,Sucasa Gestión Inmobiliaria
325000000,9132,404732,Buin,Maipú490,4,2.0,127.0,450.0,4.0,9379847,
85000000,2388,105853,Santiago,Carpay984,4,2.0,70.0,80.0,1.0,11572248,
354120500,9950,440997,Colina,Sta.Elena278,3,3.0,118.0,350.0,3.0,9196861,Behouse
81857000,2300,101939,PadreHurtado,pasajenarciso1809,3,2.0,53.0,65.0,1.0,10851413,
165000000,4636,205479,PuenteAlto,Neculan,4,2.0,110.0,150.0,2.0,7469698,
162000000,4552,201743,PuenteAlto,Mapulemu,3,2.0,80.0,140.0,1.0,9861911,
1032110000,29000,1285318,LaReina,PalmasdeMallorca,7,6.0,260.0,700.0,4.0,9364512,
426724100,11990,531412,Huechuraba,ElCarmen,4,3.0,170.0,450.0,5.0,11435116,Giordano Propiedades
153037000,4300,190582,Conchalí,Av.CardenalJoséMaríaCaro3638,5,2.0,248.0,292.0,2.0,6715809,Paz  Legal & Home
139000000,3906,173101,Recoleta,AvenidaMéxico,6,2.0,140.0,,,6716881,Paz  Legal & Home
130000000,3653,161893,Lampa,ValleGrande,2,1.0,60.0,100.0,3.0,10895192,Paz  Legal & Home
177950000,5000,221606,Maipú,Huenteno,5,3.0,100.0,166.0,2.0,9546935,
188627000,5300,234903,Peñaflor,CondominioSol,3,3.0,90.0,120.0,3.0,9978976,
80000000,2248,99626,SanBernardo,Villaalameda,4,3.0,,,2.0,11449618,Propital
305718100,8590,380720,Huechuraba,ElSauce,4,4.0,140.0,250.0,3.0,11429525,Giordano Propiedades
444839410,12499,553972,Huechuraba,SantaMartadeHuechuraba,5,5.0,180.0,580.0,5.0,7971323,Mpm Propiedades Limitada
115000000,3231,143213,ElMonte,IgnacioPalmaVicuña218,3,3.0,100.0,170.0,2.0,11440454,Propital
316751000,8900,394460,Ñuñoa,DoctorGenaroBenavides,4,3.0,145.0,285.0,3.0,11433288,
261195010,7339,325274,Providencia,DiegodeAlmagroconSuecia,4,3.0,94.0,104.0,1.0,11425958,Propital
40000000,1124,49813,Santiago,JuanMartínezdeRozas2454,3,1.0,37.0,32.0,,11423079,Rosario
99000000,2782,123288,Macul,JorgeGonzálezBastías4215,2,1.0,70.0,128.0,1.0,9630477,Rosario
56000000,1573,69738,PedroAguirreCerda,Pje.43276,3,1.0,65.0,70.0,,9630592,Rosario
709308700,19930,883323,Santiago,Sta.Elena1130,7,3.0,3467.0,752.0,4.0,10721217,
571895710,16069,712199,Ñuñoa,Hannoverconestrellasolitaria,6,2.0,157.0,408.0,6.0,11417583,Propital
4520,0,6,Santiago,CostaneraFerreaPoniente,4,3.0,82.0,140.0,4.0,11399089,Zerpa Propiedades
150000000,4215,186800,Peñalolén,Peñalolén,5,4.0,130.0,175.0,3.0,6211455,Difusion Propiedades
320310000,9000,398892,Buin,AltoSacramento,4,3.0,188.0,350.0,6.0,11381269,
198000000,5563,246575,EstaciónCentral,EstaciónCentral,7,3.0,180.0,120.0,2.0,5395066,Difusion Propiedades
601471000,16900,749030,Colina,CondominioCanquénNorte,4,3.0,270.0,580.0,4.0,9752751,Sucasa Gestión Inmobiliaria
137000000,3849,170610,Conchalí,SeisPoniente,6,2.0,156.0,192.0,1.0,5093646,Ascaim Propiedades
137021500,3850,170637,PuenteAlto,LosCastaños1059,3,1.0,85.0,185.0,2.0,11338850,Ambiento Propiedades
183500000,5156,228518,SanBernardo,CondominioParqueBalmaceda,4,3.0,108.0,182.0,2.0,3513793,Balance
560000000,15735,697385,Buin,Calleelbosque,6,3.0,550.0,2000.0,3.0,5857769,Sucasa Gestión Inmobiliaria
265000000,7446,330012,Macul,Av.Marathon2400,4,2.0,144.0,221.0,3.0,7580054,Sucasa Gestión Inmobiliaria
11057,0,14,Providencia,MiguelClaroconSantaIsabelProvidencia,3,2.0,229.0,248.0,2.0,10929361,Sucasa Gestión Inmobiliaria
134530200,3780,167534,Maipú,Av.BosqueAlto3129,3,3.0,76.0,118.0,2.0,9231182,Ambiento Propiedades
354000000,9947,440847,CaleradeTango,SanJosédeTango,3,3.0,218.0,5000.0,6.0,8310493,G A M P. Propiedades
150000000,4215,186800,Independencia,LongitudinalSeis1223,3,1.0,76.0,145.0,1.0,11010819,
120000000,3372,149440,Maipú,Berkley,4,1.0,170.0,220.0,1.0,10801762,
135242000,3800,168421,Buin,PastorPoncianoYañez,3,2.0,89.0,212.0,2.0,8620279,Ambiento Propiedades
138089200,3880,171967,PadreHurtado,FernandoMuñozRojas1133,3,2.0,74.0,140.0,1.0,11252860,
75900000,2133,94521,LaFlorida,SantaJulia,6,2.0,110.0,154.0,1.0,10563501,Intermedia Propiedades
294685200,8280,366980,Santiago,Colin,5,3.0,263.0,23000.0,,9347456,Corretaje Boutique
533850000,15000,664819,LasCondes,DomingoBondi/AlonsodeCamargo,4,2.0,170.0,468.0,3.0,11212213,Lorraine Landon Propiedades
80000000,2248,99626,PadreHurtado,Sanbenedictino52villaSantafe,5,3.0,106.0,168.0,2.0,10223385,
142360000,4000,177285,Lampa,LaMontañaNte.3650,3,3.0,84.0,133.0,2.0,8722194,Behouse
77799740,2186,96886,SanBernardo,RinconadadeNos,2,1.0,78.0,70.0,2.0,10633223,Hernán Arriagada
179729500,5050,223823,LaFlorida,Casaenpasajecerrado,3,2.0,92.0,179.0,2.0,9141583,Punto Exacto Corredora de Propiedades Ltda.
138801000,3900,172853,EstaciónCentral,MigueldeCervantes,3,1.0,77.0,171.0,1.0,9023136,Sp Rios Propiedades
960930000,27000,1196675,LaFlorida,Lientur,4,4.0,182.0,1600.0,5.0,3002413,Sp Rios Propiedades
925340000,26000,1152354,Santiago,AvenidaRicardoLyon/DiegodeAlmagro,5,3.0,254.0,490.0,4.0,11083332,Lorraine Landon Propiedades
115000000,3231,143213,PedroAguirreCerda,Alhué3004,4,2.0,90.0,100.0,1.0,10090797,Arévalo Propiedades
102641560,2884,127823,PuenteAlto,Abtao,3,1.0,61.0,108.0,2.0,11066473,Bissac
65500000,1840,81569,Paine,ParqueNacionalAltosdeLircay,2,1.0,54.0,97.0,1.0,11029691,
115000000,3231,143213,Paine,LasAcacias112,3,1.0,60.0,1164.0,,9464865,
462670000,13000,576177,Peñalolén,AlvaroCasanova355,4,3.0,140.0,260.0,2.0,11011207,Samsara Propiedades y Asesorías
72000000,2023,89664,PadreHurtado,VillaParquedelSol,3,2.0,65.0,90.0,1.0,9643153,Mauro Propiedades
140000000,3934,174346,PuenteAlto,CalleCardenalFresno,3,3.0,92.0,172.0,4.0,7675587,Mauro Propiedades
160000000,4496,199253,Recoleta,Av.Valdivieso640,6,3.0,,250.0,,10971135,Alessandro Matteucci Cajas
252333100,7090,314238,SanBernardo,VolcánPomerape.,3,2.0,83.0,750.0,6.0,10957028,Propiedades Abarca
409285000,11500,509695,LaReina,PríncipedeGales,5,4.0,150.0,250.0,2.0,10953746,
115952220,3258,144399,SanBernardo,PasajeRemi,3,2.0,63.0,107.0,2.0,10730488,Propiedades Abarca
242012000,6800,301385,Peñalolén,AlbertoOrregoLuco,3,2.0,98.0,227.0,2.0,10916394,Lorraine Landon Propiedades
210000000,5901,261519,LaFlorida,Sinaí,4,2.0,153.0,173.0,2.0,6558925,Paz  Legal & Home
206422000,5800,257064,Buin,AltoSacramento,4,3.0,130.0,216.0,2.0,8631344,
97000000,2725,120797,Maipú,NemesioAntunez,3,3.0,79.0,106.0,2.0,7726360,
295397000,8300,367867,LaCisterna,Pintados180,5,2.0,150.0,330.0,3.0,10878080,Rodrigo Cañas de la Cerda Propiedades
75000000,2107,93400,Melipilla,entretacnaconyungaymelipilla,3,1.0,43.0,198.0,2.0,8876766,Paula Vivanco Arenas
320310000,9000,398892,LaFlorida,¡Miraesto!¡Esespectacular!RojasMagallanes,4,4.0,177.0,259.0,3.0,4870914,Punto Exacto Corredora de Propiedades Ltda.
125000000,3512,155666,Macul,Montevideo,3,1.0,81.0,160.0,3.0,8174557,Novavista
105000000,2950,130760,LaReina,Cordillera,4,1.0,70.0,135.0,1.0,6128942,Novavista
480465000,13500,598337,Colina,PortalLosMaitenes,3,3.0,167.0,400.0,3.0,9531622,Tym Corredoras
252689000,7100,314681,LaFlorida,EnriqueOlivaresconAlicahue,4,2.0,100.0,240.0,2.0,10697355,
323869000,9100,403324,Colina,CaminodelMimo,5,4.0,139.0,330.0,2.0,10686291,
373695000,10500,465374,SanBernardo,Eyzaguirre1210,10,4.0,200.0,662.0,8.0,10680700,
227000000,6378,282690,Quilicura,ValleLoCampino,5,3.0,178.0,216.0,1.0,9742504,G A M P. Propiedades
151257500,4250,188366,Independencia,Gral.Saavedra1324,7,2.0,197.0,225.0,,9555440,Román Propiedades
266925000,7500,332410,LaFlorida,CascadadelaPalomaSur,3,3.0,121.0,290.0,2.0,10656285,Samsara Propiedades y Asesorías
143000000,4018,178082,Recoleta,DoctorSoterodelRío&Huasco,4,2.0,160.0,300.0,2.0,7755357,Navacasa Propiedades
75000000,2107,93400,PuenteAlto,PedroNúñezFernández,2,1.0,56.0,80.0,2.0,9634508,
69500000,1953,86550,Buin,SanFélix129,2,1.0,54.0,82.0,1.0,9552084,
140000000,3934,174346,PuenteAlto,SanExpedito,3,2.0,90.0,110.0,1.0,10199601,
907545000,25500,1130193,LoBarnechea,LasPataguas,5,6.0,320.0,1040.0,6.0,10572453,
75000000,2107,93400,PadreHurtado,Villacentenario,2,1.0,60.0,90.0,1.0,10371383,Propiedades Coda
120000000,3372,149440,Peñaflor,DonVicente,3,3.0,130.0,150.0,2.0,10371607,Propiedades Coda
64500000,1812,80324,PuenteAlto,SargentoMenadier,5,2.0,130.0,115.0,2.0,10563302,Intermedia Propiedades
409534130,11507,510005,Maipú,ManuelRodríguez,5,2.0,,700.0,8.0,5964993,
79000000,2220,98381,EstaciónCentral,Anay,3,2.0,80.0,160.0,1.0,8723620,Arévalo Propiedades
205000000,5760,255293,Santiago,Cuevas/Maule,7,3.0,161.0,185.0,,8677192,
240000000,6743,298879,Santiago,Carmen/Barretos,5,3.0,190.0,250.0,1.0,8677225,
88000000,2473,109589,Pudahuel,LosTricahues,3,2.0,65.0,90.0,2.0,6431360,
74000000,2079,92154,Maipú,BanderaChilena,4,2.0,50.0,69.0,1.0,9674826,alejandra escanilla garrido
130000000,3653,161893,ElBosque,FedericoGana,5,3.0,,97.0,3.0,10350195,Margarita Leiva Catalan
448434000,12600,558448,LaReina,SectorBlestGanaL3CastilloVelasco,3,2.0,228.0,451.0,3.0,9153550,Bello Propiedades Gestión Inmobiliaria
240232500,6750,299169,Buin,AltoSacramento,4,3.0,119.0,220.0,2.0,9140364,
227776000,6400,283656,LasCondes,MartíndeZamora/lareconquista,2,1.0,60.0,80.0,,10327869,Kinast Propiedades
130000000,3653,161893,Lampa,LosHalcones,3,1.0,85.0,180.0,3.0,10284765,Alessandro Matteucci Cajas
185000000,5198,230386,SanRamón,EstadioMunicipalSanRamón,3,2.0,,214.0,1.0,10257751,Propiedades Anderson Ltda
273000000,7671,339975,Peñalolén,LosJardineros,4,2.0,250.0,500.0,4.0,7742050,Helena de Troya
180000000,5058,224159,LoPrado,LosPlátanosxxx6,8,8.0,139.0,282.0,3.0,7844718,
286499500,8050,356786,Peñalolén,ElOlivillo5956,5,3.0,131.0,241.0,1.0,5311878,Arévalo Propiedades
120000000,3372,149440,Maipú,CerroBlanco,2,2.0,75.0,149.0,1.0,10084070,Codalu Propiedades
120000000,3372,149440,Maipú,CerroBarón,4,2.0,82.0,104.0,1.0,10081031,Codalu Propiedades
120000000,3372,149440,PuenteAlto,AvenidaLasNievesOriente,3,3.0,84.0,120.0,1.0,10080601,Codalu Propiedades
854160000,24000,1063711,LasCondes,RicardoCox,7,5.0,,800.0,4.0,10074591,Margarita Leiva Catalan
743831000,20900,926315,LoBarnechea,CaminodelYunque,4,3.0,225.0,700.0,2.0,7086037,Platoni y Bonet Propiedades
151257500,4250,188366,SanBernardo,PasajeTurinPoniente,4,2.0,85.0,155.0,2.0,8657276,Rodrigo Cañas de la Cerda Propiedades
117589360,3304,146438,PuenteAlto,PasajeIslaNavarino,3,2.0,102.0,86.0,1.0,9728294,Margarita Leiva Catalan
355900000,10000,443213,LaFlorida,LasChilcasNorte,3,2.0,140.0,1000.0,4.0,8574336,Gilmpb
622825000,17500,775623,Peñalolén,Elembalse,4,3.0,200.0,2000.0,,8574183,Gilmpb
60000000,1686,74720,PuenteAlto,VillaDuraznal,3,1.0,,,1.0,9809866,Evelyn Carrillo Santander
46000000,1292,57285,LaGranja,SantoTomás,3,1.0,,,,9809816,Evelyn Carrillo Santander
125000000,3512,155666,PuenteAlto,LaPrimavera,3,2.0,,,2.0,9809787,Evelyn Carrillo Santander
125000000,3512,155666,PuenteAlto,AvenidaMéxico,3,2.0,,154.0,2.0,7970355,Evelyn Carrillo Santander
176900000,4970,220299,Ñuñoa,Zañartu2740,4,2.0,100.0,124.0,1.0,9767097,
960752050,26995,1196453,LoBarnechea,CaminodeLosCastores,6,6.0,350.0,1000.0,7.0,7923562,Rsa Gestión Inmobiliaria
178270310,5009,222005,PuenteAlto,Canaldelaluz,3,3.0,99.0,157.0,2.0,6175452,Enfoque Propiedades
130000000,3653,161893,PuenteAlto,Aguavivanorte,3,1.0,75.0,102.0,1.0,7809524,Enfoque Propiedades
140000000,3934,174346,PuenteAlto,Cabrero,4,1.0,74.0,162.0,2.0,8107890,Enfoque Propiedades
122000000,3428,151930,Maipú,Losmoais,3,1.0,91.0,138.0,1.0,9302068,
247350500,6950,308033,Buin,CamiloBerriosQuintanilla,3,3.0,112.0,240.0,2.0,7970036,Propiedades Abarca
432418500,12150,538504,LaReina,CarlosSilvaVildósola,5,4.0,140.0,220.0,2.0,6133981,Equus Gestión Inmobiliaria
203000000,5704,252802,PuenteAlto,Independencia381,4,3.0,113.0,178.0,2.0,8189896,Giovanna Pomar
274043000,7700,341274,PuenteAlto,Lamontura,4,3.0,122.0,374.0,2.0,6943932,Enfoque Propiedades
93000000,2613,115816,PuenteAlto,PasajelaCañadaOriente,2,2.0,49.0,80.0,1.0,8548548,Enfoque Propiedades
569440000,16000,709141,Vitacura,Géminisii,3,2.0,140.0,310.0,2.0,5893319,
208201500,5850,259280,Quilicura,EduardoMaira,3,2.0,145.0,247.0,4.0,8176688,Margarita Leiva Catalan
164000000,4608,204234,PuenteAlto,Sanmaximo,3,2.0,89.0,181.0,3.0,8448868,Enfoque Propiedades
675000000,18966,840598,LaReina,JoséZapiola8774,4,3.0,150.0,210.0,2.0,2272898,Helena de Troya
480465000,13500,598337,Peñalolén,AlvaroCasanova355,5,4.0,220.0,340.0,2.0,7891532,Equus Gestión Inmobiliaria
170000000,4777,211706,Santiago,Ñuble49,2,1.0,85.0,100.0,,6682214,
76000000,2135,94645,PuenteAlto,PasajeQuechua02338,3,2.0,90.0,110.0,3.0,6682359,
249130000,7000,310249,Pudahuel,VuelodeCodornizNorte,4,3.0,137.0,225.0,1.0,6355152,Promoción Inmobiliaria
360000000,10115,448319,LaCisterna,Esmeralda&AvenidaFernandezAlbano,4,3.0,270.0,480.0,4.0,7064113,
160000000,4496,199253,LaCisterna,brisas000,3,1.0,150.0,331.0,4.0,7063582,
266925000,7500,332410,Pudahuel,AvenidaPedrodeAretxabala,4,3.0,129.0,228.0,2.0,6945383,Promoción Inmobiliaria
1299035000,36500,1617727,LoBarnechea,ContralmiranteFernándezVial/ElTranque,6,5.0,344.0,702.0,5.0,12341490,Viel Propiedades dos Ltda.
85000000,2388,105853,Colina,LasAraucarias,2,1.0,52.0,91.0,,12341157,Urbalia
366577000,10300,456509,Colina,Santaelenalosnogalesii,3,3.0,135.0,135.0,2.0,12341129,Urbalia
444875000,12500,554016,Colina,Colina,6,4.0,170.0,610.0,3.0,12339449,Proyecta Propiedades - Santa Elena de Chicureo
87000000,2445,108344,PadreHurtado,valledelaconcagua,3,1.0,65.0,90.0,2.0,12337901,Easyprop
462670000,13000,576177,Maipú,libertad377,5,6.0,217.0,596.0,5.0,12337835,Easyprop
88000000,2473,109589,PuenteAlto,eyzaguirre,4,2.0,80.0,100.0,1.0,12337819,Easyprop
160155000,4500,199446,PadreHurtado,rodolfojaramillo2718,3,3.0,84.0,169.0,2.0,12337777,Easyprop
77000000,2164,95890,Maipú,Olimpo,3,2.0,55.0,93.0,4.0,12337693,Easyprop
165493500,4650,206094,Maipú,elhelechosur18535,3,1.0,89.0,200.0,3.0,12337577,Easyprop
270484000,7600,336842,Maipú,alcaldejoseluisinfantelarrain,3,3.0,155.0,233.0,4.0,12337535,Easyprop
125000000,3512,155666,Pudahuel,ElRaulí8575,3,2.0,90.0,98.0,1.0,12336409,
150189800,4220,187036,PuenteAlto,Alcántara,4,3.0,90.0,200.0,2.0,7741272,
473347000,13300,589473,LasCondes,Puntadeleste//LasCondes,4,2.0,110.0,258.0,2.0,12335775,Nexxos
199837850,5615,248864,PuenteAlto,CiudaddelEste,5,3.0,178.0,264.0,1.0,12335701,Nexxos
155000000,4355,193026,Ñuñoa,MAP-Sevendecasaesquinaparaproyectoocomercioenñuñoa,3,1.0,40.0,198.0,2.0,12335402,Easyprop
126807170,3563,157917,PuenteAlto,Map-SevendeBellaCasa4H,4,3.0,80.0,105.0,3.0,12335381,Easyprop
266925000,7500,332410,Huechuraba,MAP-SeVendeHermosaCasa3D,3,3.0,107.0,180.0,2.0,12335308,Easyprop
